Name,Rating Average,Complexity Average
Formula E,6.19,1.50
Sumatra,7.09,2
Würfel-WG,6.51,1.67
Word Basket,6.17,1.11
Caminos,6.58,1.40
Foragers,6.42,2.08
Button Soccer,7.17,1.85
Pacific Fleet,7.69,4
Chancellorsville 1863,8.34,2.83
"Maori Wars: The New Zealand Land Wars, 1845-1872",7.32,2.50
Orb Hunters,6.83,2
Video Vortex,7.42,2.25
Austerlitz 20,6.95,2
Parts Unknown,5.99,1.90
Schlag den Raab: Das Spiel,6.12,1.47
Star Frontiers: Knight Hawks,6.40,2.70
Into The Echoside,7.71,2
Caravelas,5.92,2.55
Collapsible D: The Final Minutes of the Titanic,6.68,2
Harry Potter Strike Dice Game,7.23,1
Tapeworm,6.85,1
Stalingrad,6.04,2.39
4 Player Chess,5.95,2.90
Antietam: Burnished Rows of Steel,6.64,2.59
Wok on Fire,6.24,1.40
The Pyramid's Deadline,5.95,1.40
Sweet Nose,6.56,1.25
Pent-Up,7.46,2
Zock 'n' Roll,6.21,1
Corunea,6.67,3
Campaign Trail: The Game of Presidential Elections,6.59,1.75
Second World War at Sea: Coral Sea,7.18,3.08
Dual Gauge,7.61,2.67
The 7th Citadel,8.27,2
Thieves!,5.98,1.13
Freezing Death: Finnish Winter War,7.55,2.44
Star Fleet Battles Cadet Training Manual,7.33,3.22
18Africa,7.23,3.86
Selfish: Space Edition,6.56,1
San Guo Sha: Kingdom Wars,7.31,2
Atak Zombie,6.16,2.69
The Reef,5.71,1.62
Death Over The Kingdom,7.03,2.20
Karambolage,6.10,1.09
The Russo-Japanese War: Dawn of the Rising Sun,7.89,4
Eila and Something Shiny,7.69,2
Tal der Abenteuer: Die Schatzsuche im Himalaja,5.86,1.60
Der Herr der Ringe: Die Gefährten - Das Kartenspiel,6.00,1.95
Polizei-Alarm!,6.44,1.14
The Sinking of the Titanic,6.13,1.33
Connect 4 Launchers,6.29,1
Ghostbusters: The Board Game II,6.52,2.50
How to Host a Dungeon,7.15,1.91
Anno Domini: Kunst,6.74,1.60
Fortune City,6.70,2
GOLD,7.01,1
Race For Tunis,6.51,2.59
Mutants and Death Ray Guns,7.51,2.75
The Arduous Beginning,6.99,1.69
Admirals' War: World War II at Sea,8.69,2.29
Bag of Dungeon: A Fantasy Adventure Game,7.17,1.75
Corporation,6.93,2.75
Washington's Crossing,7.60,3
Candy Chaser,5.93,1.14
Cranium Party Playoff,6.04,1
Keydom,6.84,2.67
Micro Space Empire,6.51,1.18
Gold Digger,5.73,1.19
Dungeon Solitaire: Tomb of the Four Kings,6.89,1.22
Nanaki,7.65,2
Zargos,6.32,2.73
Eco-Links,6.77,0
World War II: Barbarossa 1941,7.05,3.60
Keesdrow,6.43,1.77
Nuevo Mundo,7.46,2.20
Star Fleet Battle Manual,7.15,2
Glik,6.24,2
Palazzo Paletti,6.76,1.17
Micro Rome,7.05,1.40
Connections,6.34,1.82
Hippo,6.02,1
Tinco,6.82,1.33
Conquerors,6.71,3.23
The Aztec Market,7.17,2
18MS: The Railroads Come to Mississippi,6.74,3.33
The Last Crusade,6.63,2.63
Glory II: Across the Rappahannock,6.40,2.76
Teomachia,6.22,3.06
Age of Muskets Volume I: Tomb for an Empire,7.39,3.79
Rory's Story Cubes: Score,6.53,0
The Three Days of Gettysburg (Second Edition),7.19,4.14
King Of The Hill: The Dwarf Throne,6.89,2
Count of Nine,6.70,2
Der Clou: Roll & Heist,7.96,2.25
Race to the North Pole,6.01,1.88
Lumina,6.67,1.50
Random Encounters,6.99,1.80
Munchkin Harry Potter Deluxe,6.53,2.29
Genji,5.84,2
Pleasant Hill: The Red River Campaign,6.74,3.19
The X-Files: Circle of Truth,6.61,1
Smash Monster Rampage!,6.50,2.17
1914: Glory's End,6.35,2.56
Encore,5.87,1.26
"Hastings, 1066",6.63,2.87
1985: Deadly Northern Lights,8.99,4.63
Im Zeichen des Kreuzes,5.92,2.22
"La Bataille de France, 1940",7.29,3.46
Knights of the Dinner Table: HACK!,5.98,1.80
Mosquito Show,7.23,1.50
Eleminis,6.03,1.13
Wanzen tanzen,6.24,1.24
War of the Suns: The War of Resistance 1937-1945,6.99,4.44
Pick 'N' Choose,6.37,1
El Castillo del Terror,6.83,1
Wild West Exodus,7.81,3
Ni-Ju,7.51,3
Stak Bots,6.27,1.60
1831,7.61,4.40
Tales & Games: Little Red Riding Hood,5.90,1.23
The Invasion of Russia (1812),7.50,2.75
Just in Time,6.67,2.33
Start Player Express,6.45,1.14
Splatter SHOOT,7.35,2
Sherlook,6.07,1
Funkoverse Strategy Game: Jaws 100,8.21,0
Nomic,7.04,4.36
Maus au Chocolat,5.97,1.30
Ambar,6.90,2
Dorasure,6.42,1.80
Legends,6.43,2
Rayguns and Rocketships,6.78,2.20
Minion Hunter,6.20,1.88
Skybridge,5.92,1.93
Flick Wars,6.88,2.33
Meeple Party,7.19,2
Shenandoah: Jackson's Valley Campaign,7.06,2.56
"Oh, Fox!",6.59,1.60
Cabale,6.19,2.50
The Warp,8.94,3.14
"Borodino: Napoleon in Russia, 1812",7.16,2.30
Dragon Pets,6.51,2
Haithabu,6.20,3.54
Suez '56: Anglo French Intervention in Egypt,6.94,1.83
White Bear & Red Moon,7.42,3.20
Edenia,6.30,1.75
Munchkin Collectible Card Game,6.31,2.67
To Take Washington: Jubal Early's Summer 1864 Campaign,8.55,4.43
Feuville,6.21,2.33
Decline and Fall of the Roman Empire,6.66,2.62
MLB Showdown,6.19,1.94
Marengo 1800,7.48,2.79
VOR: The Maelstrom,6.90,2.83
Stilicho: Last of the Romans,8.28,2.43
Hameln,5.84,2.88
Monopoly Express,5.68,1.13
The Sword and the Stars,6.31,3.05
Relicblade: Adventure Battle Game,8.63,2
National Economy Mecenat,6.95,2.50
Cherokee,5.93,1.83
Sergeants Miniatures Game: Red Devils,7.88,3.25
Landslide,6.17,1.43
Nothing Personal (Revised Edition),7.26,2.75
Mini FITS,5.89,1.23
Congo: Adventures in the Heart of Africa,8.59,0
For The Win,5.77,1.84
Legends of Draxia,7.30,2
Catchphrase,6.19,1
Antiquity Quest,6.93,1
Wayfinder,6.63,2.84
"Redvers' Reverse: The Battle of Colenso, 1899",7.48,3.13
Funkoverse Strategy Game: Back to the Future 100 - Marty McFly & Doc Brown,8.08,0
Stage II,6.31,1.91
Ancients I,6.31,1.90
Pigasus,6.80,0
Cosmic Kaboom,6.46,1.50
Danger 13,6.02,1.23
Whitewater,5.98,1.54
You Robot,5.97,1.25
6 nimmt! Brettspiel,6.67,1
LED: Lógica - Estrategia - Deducción,7.44,2
Pirate 21,6.33,1.33
Ocean Labyrinth,6.76,1.17
Waldmeister,6.28,2.33
111: Alarm dla Warszawy,6.43,1.60
The Batman Who Laughs Rising,7.80,0
Rogue Stars: Skirmish Wargaming in a Science Fiction Underworld,7.32,3
Rangers of Shadow Deep: Deluxe Edition,8.77,2
"Remember the Maine! The Spanish-American War, 1898",6.76,2.80
Outlaws: Last Man Standing,6.29,1.86
Electronic Labyrinth,6.38,1.80
Title Bout 2,8.37,2.67
Off Your Rocker,6.33,1.14
1940,6.43,2.38
Klickado,6.11,1
Medina de Rioseco 1808,7.89,2.75
Apocalypse: The Game of Nuclear Devastation,6.75,2
Chez Cthulhu,5.89,1.63
Pirates of the Spanish Main: Shuffling the Deck,6.01,1.58
Downsize,6.48,1.43
Scare It!,6.04,1
Semper Fi!,6.93,3.43
Alice,6.83,1.75
Conan Collectible Card Game,7.02,2.72
France 1944: The Allied Crusade in Europe,6.19,3.03
The Conquerors: Alexander the Great,6.10,2.84
Reign of Witches,7.57,2
OrcQuest,6.71,2
Obcy,6.46,2.13
7 Souls,7.07,2.25
Lock 'n Load Tactical: Heroes in Defiance,8.44,4.25
I Am Spartacus!,6.45,2.50
Smokejumpers,6.60,2.33
Thornwatch,6.48,2.33
Storming the Reich: D-Day to the Ruhr,7.26,3.07
Burrows and Badgers: A Skirmish Game of Anthropomorphic Animals,8.38,3
Square Mile,6.56,2.15
Up And Down,6.23,1.77
Goblins vs Zombies,6.39,2
Road to Infamy,7.15,2
Grind House,6.88,1
Agropolis,7.92,0
The Badger Deck,8.27,1
Paul Koenig's The Bulge: 6th Panzer Army,7.18,2.46
Battleground Fantasy Warfare: Orc Army,7.15,3
Roll Estate,7.24,1.50
Trenchzone,7.41,2
Kronia,6.38,1.30
Fubi,6.70,1.08
Ligny & Wavre 1815: The Empire's Last Victories,8.26,4
The Great War in the Near East,6.76,3.25
"The Kaiser's War: World War I, 1918-19",7.28,2.67
Sturm Nach Osten,6.93,2.83
Embark,7.11,2.50
I Am the Fourth Wall,6.85,2.57
Turf Horse Racing,6.44,1.80
"War in the Pacific: The Campaign Against Imperial Japan, 1941-45",7.06,4.77
Infection Express,6.23,1.70
Blend Off!,6.40,1.33
Drachen Wurf,5.89,1.19
Schildi Schildkröte,6.36,1.14
Tornado Rex,6.69,1.15
Caravelas II,6.77,1.78
Rights,6.16,1.33
Isles of Terror,7.06,3
Banned Books,6.58,2
Dicke Kartoffeln,6.21,3.43
Stonehenge,6.31,1.86
The Chosin Few,6.74,1.78
La Grande Armée: The Campaigns of Napoleon in Central Europe,6.74,2.83
Combo Fighter: VS pack 2,7.33,0
キャットインザボックス (Cat in the box),7.62,2
The Age of Atlantis,7.74,3
FBI,5.77,1.54
Les Aventuriers du Rail Express,7.45,1.50
Capital City,6.42,2
Ghostbusters: Blackout,7.48,2
Operation Market Garden: Descent into Hell ,6.72,3
Tembo,6.19,1.50
Flames of War: Open Fire,7.13,2.75
Jerusalem,6.93,2.60
Ninja Burger: Secret Ninja Death Touch Edition,6.29,1.85
RoadKill,5.89,2.39
Chaparral,7.78,3.20
Tori,6.37,2.67
Sponsio,6.54,2
Xactika,5.78,1.98
"Caesar's War: The Conquest of Gaul, 58-52 BC",6.58,1.36
"Kursk, South Flank: A Panzer Grenadier Game",7.76,3
Guerra De Mitos II,7.71,2.20
Frag,5.68,1.76
Kaliko,6.58,2.30
Dawn of the Dead,6.01,2.15
Way of the Fighter: Turbo,7.41,3.50
HeroCard Orc Wars,6.24,2.39
Red Parachutes: Soviet Airborne Assault Across the Dnepr,6.82,3.05
Schachen,7.38,2.22
The Transcontinental,7.52,3.20
Secrets of the Lost Station,7.59,2.40
Flying Carpet,5.85,1.52
Lasalle,7.28,2.64
Ghost for Sale,5.95,2.07
Paper Dungeons: A Dungeon Scrawler Game,8.36,2.33
Farmini,6.49,1
Gum Gum Machine,5.83,1.74
Black Sea Black Death,7.24,3.91
SecuenzooS,6.70,1.60
Free Trader,6.11,1.56
Aces High,6.44,2.94
Command Decision 2nd Edition,6.94,4.14
All Things Zombie,7.00,2.56
Fish Eat Fish,5.71,1.35
Star Trek: Deep Space Nine Fluxx,7.06,0
Arbos Apfel,6.98,1
Ubongo: 3-D Family,7.16,2
Humans!!!,5.80,1.96
Traverse,5.94,1.97
Emu Ranchers,6.49,1.57
Kaiju Incorporated,6.79,2
Kendo,6.06,2.35
Zark City,6.54,2.31
Big Money,6.54,1
Say My Name,7.53,1
Glory,7.80,1.40
Battleground Fantasy Warfare: Elves of Ravenwood,7.10,2.80
¡Arriba España!,6.50,2.79
Spukstaben,7.29,1
Dynamite Nurse,6.46,2
Time is Money,6.18,1.13
Strike A Pose,6.45,1.25
Cartoon Network Fluxx,5.91,1.46
GYÜMI,6.63,1.50
Café International: Das Kartenspiel,5.70,1.32
Battle of the Bands: Encore Edition,6.33,1.63
Worldwide Football,8.08,2
Second World War at Sea: Arctic Convoy,7.36,3.15
Black DOG,6.18,2
Jenga: Donkey Kong Collector's Edition,5.97,1.21
Vs System 2PCG: The Alien Battles,7.24,2
The Suits: Season 3,7.47,0
Boom Boom Balloon,5.92,1
Pico 2,5.90,1.16
BANG!: Heroes of the Storm,6.39,1.25
Zombicide (2nd Edition),7.46,2.53
The Perfect 10,5.95,1.93
Cowboy Bebop: Boardgame Boogie,6.93,2.40
Time Bomb,6.57,0
War for Edaðh,6.44,3.24
Great War at Sea: U.S. Navy Plan Red,6.70,2.44
Boochie,6.64,1
Genial Spezial,5.99,1.89
Bug,7.45,2.33
Mission Command Sea,5.91,1.49
Roar: King of the Pride,6.34,2
Lost Battles:  Reconstructing the Great Clashes of the Ancient World,7.73,3.44
Breaking the Chains: War in the South China Sea,6.84,3.08
Star Wars: Trading Card Game,5.86,1.98
Patrol: Lost!,6.87,1.75
Enchanters: East Quest,7.83,2
Imagineers,6.60,2
Holdfast: Tunisia 1942-43,8.37,2.80
Hunters of Arcfall,6.12,1.43
The Fall Of The Third Reich,7.74,3.29
Loch Ness,5.97,1.14
Mount Drago,5.91,1.83
Grim Doom,7.62,2.75
Frischfleisch,6.14,2.55
Dungeon Solitaire: Labyrinth of Souls,7.59,1.80
Morelli,7.30,3.50
IRONDIE,6.39,2.13
GYÜMI Géniusz,7.14,2.20
"Winged Horse: Campaigns in Vietnam, 1965-66",7.20,3
Władca Areny,6.88,3.45
TAIJI,6.37,2.07
Noises at Night,6.61,1.67
Funfair,5.91,1.43
The Refuge: A Race for Survival,6.48,1.29
Nature of the Beast: Farm vs. Forest,6.47,2.59
Eylau 1807,7.54,2.90
The Battle of Five Armies,6.46,2.73
Verona Twist,6.90,2
Misión Marte,7.01,1
Ulti,8.11,3.27
The American Revolution: Decision in North America,7.11,2.75
World of Draghan: Sneaky Ol' Dragons,7.85,2
Baby Clues,6.69,1
Star Wars: Battle for Endor,6.14,2.15
The Broadway Game,6.44,2.31
La Petite Mort,6.51,1.33
Twitch,6.07,1.17
The Last King of Scotland: The Uganda-Tanzania War 1978-1978,6.71,2.18
The Men Who Would Be Kings: Colonial Wargaming Rules,8.12,2.25
Hoax,5.97,1.38
"Case White: The Invasion of Poland, 1939",6.44,3.79
Arcane Bakery Clash,6.74,1.50
The Lonely Mountain,6.57,2.88
Medieval Realms,7.24,2.67
SHIBUYA,6.79,2.25
All Quiet on the Western Front,7.34,2.88
Chaostle,6.37,2.25
"The Army of the Heartland: The Army of Tennessee's Campaigns, 1861-1863",7.12,3.71
Czas Honoru: Operacja Most III,6.39,2.47
TOP Kitchen,6.64,2
Bell-Bottomed Badassses on the Mean Streets of Funk,5.96,1.48
Monikers: More Monikers,7.89,0
The Ninth World: A Skillbuilding Game for Numenera,6.31,2.67
Objective Moscow: The Death of Soviet Communism,6.56,4
Gazala,6.68,2.74
Oak & Iron: Core Box,8.80,2.67
Bluff in Zoo,6.33,1.11
Napoleon's Quagmire,8.06,3
Flag Dash,6.21,2.38
Age of Exploration,6.04,3.06
The Perfumer,6.34,2.50
No Escape,6.86,2
Gamer Over! A Game Fair Murder Mystery,7.69,0
Superclub,7.97,2.43
Stone Daze,7.67,2
Battlegroup: Kursk,7.86,3.33
Mad Science Foundation,6.45,2
Tomb Trader,6.68,1.67
Corteo,7.07,3.09
Slaughterville,6.52,3
Crete 1941: Operation Mercury,7.52,2.50
Volltreffer,6.65,2
Geometric Art,7.08,1.75
Quatre Batailles en Espagne,7.74,3.17
Fado: Duetos e Desgarradas,7.80,1.67
Spy Tricks,6.66,2
Hands,6.33,1.17
Waterloo 1815: Napoleon's Last Battle,8.34,4.14
Sumo!,5.81,1.27
Trick or Treat,6.97,1.67
Dr. Microbe,5.96,1
Kernstown,8.35,3.50
Stinky Business,6.32,2.20
Battlegroup: Rule Book,8.24,3.25
Parley,8.10,3
Kyoto Protocol,6.56,1.67
Pralaya,7.04,1.25
Neon Gods,6.49,2
Colonies,7.04,3.60
Word Whimsy,6.85,1
Sagunto: The Battle for Valencia,7.37,3.91
Kaiju Siege,7.85,2.33
Misty,6.30,1.17
Blood & Iron,6.40,2.50
Bosworth,5.85,2.10
Magic Realm Light 30,7.26,2.78
One Week Ultimate Werewolf,5.96,2
Rowboat,6.11,2.13
Dicey Peaks,6.16,1
Pisa,6.29,1.75
Hue,6.69,2.43
Callisto,6.49,1.80
Rolling Empires,7.26,2.83
Outer Earth,6.66,2.20
10 Negritos,6.21,2.41
Waterloo,5.89,2.21
Veto! Szlachecka Gra Karciana 2 edycja (2ed),6.66,2.71
Piratas!,6.87,1
Walking on the Moon,6.85,1.60
Ants!,6.02,2.22
Rukshuk,5.91,1.34
Invasion of the Air-eaters,6.27,1.93
Tannenberg 1914,7.00,3.45
Ladrillazo,6.72,2
My Farm Shop,7.06,2
War Between The States 1861-1865 (Second Edition),7.19,3.75
Wurst Case Scenario,6.45,1.33
AYA,5.95,1.60
Flagship: Prometheus Unchained,6.04,2.08
The Chaco War,6.58,2.71
Matterhorn,6.33,1.50
Ghooost!,5.67,1.42
DragonStone Mine!,6.94,2.50
"Year of the Rat: Vietnam, 1972",6.81,2.89
Biergarten,6.16,2
Blocks in Afrika,8.09,3.89
Red Dragon / Green Crescent,7.09,2.25
Automata NOIR,7.07,1.50
"Drive on Moscow: Operation Typhoon, 1941",6.97,2.38
Bunte Runde,5.98,1.17
La Loire,6.23,3
Battle Dome,6.41,1
American Book Shop,7.62,1
Trivial Pursuit: Classic Edition,6.01,1
Days of Battle: Golan Heights,7.30,2.67
"Wolfpack: Submarine Warfare in the North Atlantic, 1942-44",6.24,2.54
Nations at War: Stalin's Triumph,8.27,4
Nox,5.76,1.23
Ignis,6.10,1.56
Crisis: Sinai 1973,6.54,3.44
Red Rising,7.52,2.14
Embrace an Angry Wind,6.81,2.92
Get Packing,6.11,1.50
Paratroop,6.11,2.30
Manifest,6.53,2.80
Geek Out!,5.71,1.23
CLUE: World of Harry Potter,6.21,1.75
NUTS! Second Edition: Europe 1944,7.48,2.67
Circus Maximus,6.00,2.07
War Stories: Liberty Road,7.11,3
"Drive on Washington: The Battle of Monocacy Junction, July 9, 1864",7.01,2.94
LOT,7.44,1.50
Alien 51: El ascensor,7.27,1.40
The War Game: World War II,6.95,3.54
Secret Night at Davis Manor,8.01,2.67
"The Balkan Wars: Prelude to Disaster, 1912-1913",6.59,2.95
Make 'n' Break Extreme,5.88,1.15
LANDER,7.53,3.33
Kreuzwort,6.41,1
Inchon: MacArthur's Gambit,6.78,3
Napoleon's Wheel,8.40,3
The Deception of Antiques: 12 Chinese Zodiac Bronze Heads,7.76,2.67
Baron Voodoo,6.82,2.50
Anno 1452,6.05,2.94
Bounce It-In Game,6.21,1.12
Lion of the North: The Dawn of Modern Warfare,6.26,3.68
"Warhammer 40,000: First Strike",7.60,3
Fickle,7.33,1.67
Dampfross 2,6.94,2.50
Nickelodeon Splat Attack!,7.05,2
Plunder: A Pirate's Life,7.36,1.86
Funky Chicken,6.30,0
Farfalia,6.06,1.50
Cosmocracy,6.93,1.50
Santorini: New York,7.47,2
"Patton's Vanguard: The Battle of Arracourt, 1944",7.25,2.50
Dawn: Rise of the Occulites,7.36,2.71
Across the Pacific,8.10,3.27
Conquest,6.79,2.44
Jumble Jam,7.18,1.25
Chitin: I,6.08,1.76
Dreams of Tomorrow,6.50,2
"Red Star/White Eagle: The Russo-Polish War, 1920 - Designer Signature Edition",7.76,3.50
Trajan: Ancient Wars Series,7.69,3.67
Rock'n Rodeo: Der Festivalmanager,6.78,3
Wurzburg: Soviet-American Combat in the '70's,6.73,2.27
1895 Namibia,6.78,3.20
Kacper Ryx i Król Żebraków,7.19,2.80
Doom Realm,7.12,2.86
Gear & Piston,5.72,2.13
Provincia Romana,6.24,2.50
Septikon: Uranium Wars,6.36,2.30
Moeraki: Kemu,7.11,2.80
A Blood-Red Banner: The Alamo,6.73,1.50
Masterpiece,5.70,1.45
Dungeon Brawler,6.72,1.89
Corona de Hierro,7.51,2.67
Mago Magino,6.20,1.13
Space Maze,5.88,2.15
Lose Your Shirt,6.66,1.43
Song of Drums and Shakos,7.55,2
The Suits: Season 1,7.06,0
Sleepers,7.78,0
POWERUP,7.84,2.50
"""Scratch One Flat Top!""",7.44,3.38
War For Chicken Island,7.27,2
Battleground Fantasy Warfare: Lizardmen,7.39,2.67
Pole Position,6.27,1.69
Iéna 1806,7.39,2.79
Railroad Ink Challenge: Lush Green Edition,7.76,2
CardFight!! Vanguard,6.57,2.78
Breakaway Football,8.92,3
Escape From Hades,7.81,3
Ace Detective,6.03,2.20
KIPP X,6.68,1
Watten,7.15,2.13
Dark December,7.29,3.20
Jacynth,6.55,2.17
March Madness,6.32,2.27
Drang Nach Osten!,6.82,4.22
Battlefold,6.56,2
Symphony,6.85,3.50
Sid Meier's Civilization: The Card Game,5.97,2.11
Orchard Ocean,6.93,3.67
Schüttel's,6.22,1.50
Necromunda: Dark Uprising,8.99,4
MOD X,6.95,1.67
Dune Express,6.02,1.50
America in Flames,6.54,4.53
Die Tore der Welt: Das Kartenspiel,6.13,2.17
Scotland Yard,6.54,2.50
Sevilla 1503,7.39,2
Five Seals of Magic,6.11,2.43
Visby,6.58,1.25
1836,7.74,0
Tornio '44,7.73,3
Over There,7.60,4.33
"1,2,3! Now you see me...",6.09,1.31
Punic Island: Campaign Commander Volume III,7.27,3.22
Combo Fighter: VS Pack 1,7.25,0
The Nightmare Before Christmas TCG,6.62,2
Budapest '45,6.45,2.42
Godforsaken Scavengers,6.43,1.67
Guns of August,6.66,2.07
Liberatores: The Conspiracy to Liberate Rome,6.43,3
Magic: The Gathering - Duel Decks: Nissa vs. Ob Nixilis,7.35,0
Sector 6,6.12,2.18
The Great Redoubt: A Game of the Battle of Borodino,6.94,3.53
Stories!,6.52,1.14
Legend of Zagor,6.14,1.70
Kuba,6.17,1.90
Catch a Falling Star,6.17,1
London & Northwestern,6.88,0
Torpedo Run!,6.04,1.30
Triangoli,7.67,2.50
Hero's Journey Home,7.15,2.67
War Between The States 1861-1865,6.82,3.78
Menu Masters,6.26,1.50
Slyville,6.88,1.50
Hand and Foot,5.93,1.91
Black Hole Council,6.74,1.75
Jubako,7.03,1.80
Conspiracy!,7.13,2
Schlacht am Buffet,6.20,1.67
Conflict of Alliances: Warring States,7.80,2.52
Envyra,7.03,2
Shinobi: War of Clans,6.07,1.44
Adventure Time Card Wars: Fionna vs Cake,7.11,2
Titans of Industry,6.54,2.73
Against All Odds,7.32,4.11
Mysthea: The Fall,8.12,3.50
Sub Search,5.81,1.47
Napoleon's Art of War: Eylau & Dresden,6.14,1.90
Legends of Boxing,8.62,2.20
SPY,5.86,1.83
Big Bang 13.7,7.03,1.75
Game Over,6.04,1.30
El Camarero,7.38,1
Funkoverse Strategy Game: Golden Girls 101 - Dorothy and Sophia,7.38,0
Drinking Fluxx,6.30,1
Elementum,6.99,2
Snapshot,6.17,2.19
Insecta,6.22,2.74
Showtime,6.03,1.29
"Ignorant Armies: The Iran-Iraq War, 1980-88",6.76,2.60
Guerra De Mitos III,7.96,2.33
Ortus,6.52,3
¡Abordaje!,6.27,1.89
Star Trek Red Alert,6.49,2.33
Connection Games,8.78,3.33
Sherwood Forest,5.80,2.24
Suzume-Jong,7.00,1.75
Battleground Fantasy Warfare: Undead Army,7.15,2.67
Alea Iacta Est,7.59,3.08
The Doom That Came to Atlantic City,5.99,1.83
War of Resistance,6.98,4.50
Manimals,6.36,1.14
The Headlines Game,6.81,1
oddball Aeronauts 2: Double the Trouble,6.57,1.83
Zimby Mojo,6.77,2.89
Days of Decision II,6.35,3.67
White Eagle Defiant: Poland 1939,8.13,1.83
MechWar '77: Tactical Armored Combat in the 1970's,6.25,3.20
Burnside Takes Command,8.45,3.27
King,6.95,2
Donburiko,6.32,1.38
Slap .45,6.40,1.33
Khe Sanh '68,6.47,1.56
Quackshot,6.68,1
Ghosts of the Moor,6.12,1
"Jacob Marley, Esq.",6.23,2.18
Wilderness Empires,7.03,2
Quatre Bras: Stalemate on the Brussels Road,7.11,2
A Raging Storm,6.86,3.70
Strange Aeons,8.24,2.50
The Wilson Wolfe Affair,7.93,4
Pathogenesis (Second Edition),7.19,2
Flying Lead,7.36,2.67
Murder in Greenrock Village Theatre,6.56,2.80
Animal Upon Animal: Christmas Edition,7.46,0
Quinto,6.03,1.87
Costa Ruana,6.26,2
Unanimo Party,7.12,1
Saga: The Crescent and The Cross,8.54,2.67
Battle for Biternia,8.01,3
Dig Down Dwarf (Second Edition),6.75,2
18NL,7.36,3.33
Crash Test Bunnies,6.53,1
Palacio de Viana,6.90,2.38
Spanish Main,6.53,2.71
Havok & Hijinks,6.78,1.60
Serbia the Defiant / Romania: Transylvanian Gambit,7.61,3.25
Bar-Lev: The 1973 Arab-Israeli War,7.39,3.83
Perplexus Twist,6.91,2
Gruff: Stuff of Nightmares,8.32,2
Carcosa,6.11,2.78
Zura,6.83,1.67
Kahmaté,6.31,1.91
Super Farmer,5.72,1.14
Four Battles of the Ancient World,6.20,1.90
Lincoln's War,6.34,3.11
Ikonikus,5.99,1.20
DC Comics Dice Masters: Justice Campaign Box,7.96,0
Der HeidelBÄR,6.45,1.14
Port Royal,6.18,2.36
NecronomiCards,6.80,2
Marrakesh,6.95,2
Advanced Tobruk System Basic Game 1a: Screaming Eagles,7.00,2.40
Warlord,7.11,2.79
Radiant: Offline Battle Arena,8.05,3
Alien Menace,6.43,1.80
The Hardest Days,7.51,2.67
Manno Monster,6.42,1.57
Hungarian Rhapsody: The Eastern Front in Hungary,8.17,4.50
Volta,7.11,1
Assyrian Wars,6.45,4.04
After the Holocaust: The Nuclear Devastation of America - Recovery and Reunification,6.06,4.03
Assassin's Creed: Brotherhood of Venice,8.78,3
Kampen om Norge,7.54,2.50
Deadlands: The Great Rail Wars,6.81,3
Pulp Detective,5.77,1.56
Mole Hill,5.99,1.71
Oni,6.49,1.63
Deluxe G.E.V.,7.51,2.50
A Song of Ice & Fire: Tabletop Miniatures Game - Free Folk Starter Set,8.69,0
Tri-Ba-Lance,6.46,1.50
*Star,7.67,3.80
Australian Railways,7.07,3.20
Dragon Face,6.82,2.56
Les Rois Francs,6.91,1.58
Breaking Bad: The Board Game,6.79,2.56
Coerceo,6.66,3.33
Warmachine: High Command - Faith & Fortune,6.87,2.33
Warzone: Universe Under Siege,7.63,3.60
Dollars to Donuts,7.51,2
Patton's First Victory: Tunisia,7.10,2
Warhammer: Age of Sigmar - The Rise & Fall of Anvalor,6.98,2.25
Storm Over Scandinavia,7.38,4.11
Dice Throne: Season One ReRolled - Treant v. Ninja,8.20,1.67
Vejen,6.47,3.36
Gorbachev: The Fall of Communism,7.73,2
Crime Zoom: Sa dernière carte,7.60,2
The African Campaign,6.52,2.48
22 Pommes,6.08,1.35
Fafnir,6.47,2
Burg der 1000 Spiegel,5.97,1.31
TaskForce: Naval Tactics and Operations in the 1980's,6.60,3.27
Omaha Beachhead: Battle for the Bocage,6.22,2.86
Final Fantasy VIII: Triple Triad,7.56,2
Beer Empire,6.27,3.20
London After Midnight 2: Sherlock in Hell,6.56,1.33
Global Powers,6.61,3.08
Manassas,8.65,3.45
Fist of Dragonstones: The Tavern Edition,6.55,2
Video Game High School,6.39,2
End of Empire: 1744-1782,7.59,2.82
Mystick Domination,6.43,2.83
Dork Tower,5.88,1.90
Pharaoh Code,6.04,1.40
The Battle of Adobe Walls,7.68,2.78
Funkoverse Strategy Game: Tim Burton's The Nightmare Before Christmas,7.81,2
Drôles de Zèbres,6.36,1.50
El portero Baldomero,6.66,1
Kingpin,6.16,2.29
Battleground Fantasy Warfare: Dwarves of Runegard,7.44,2.33
A Song of Ice & Fire: Tabletop Miniatures Game - Night's Watch Starter Set,8.43,0
Web and Starship,6.37,3.53
Namiji,6.82,2
Battlewagon,6.36,2.44
Birth of a Legend: Lee and the Seven Days,6.88,2.92
"Brute Force: The War in the West, 1940-1945",6.67,3.43
A Bridge Too Far: Operation Market Garden,7.03,2.11
Skirmish,6.16,1.75
INWO SubGenius,6.04,2.65
Shadows Upon Lassadar,6.64,2.14
1862,7.35,3.71
"Marita-Merkur: The Campaign in the Balkans, 1940-41",6.72,3.90
Deranged,7.21,3.11
Oriflamme: Ablaze,7.97,3
Ab durch die Mauer,6.68,1
