Name,Rating Average,Complexity Average
Spartacus: A Game of Blood and Treachery,7.46,2.71
Lord of the Rings: The Confrontation,7.47,2.20
Sheriff of Nottingham,7.14,1.65
Biblios,7.19,1.68
Amun-Re,7.32,3.04
BattleCON: Devastation of Indines,7.92,3.07
Twice as Clever!,7.53,2.36
Awkward Guests,7.73,2.36
Commands & Colors: Napoleonics,8.00,2.74
Pandemic: Reign of Cthulhu,7.40,2.18
1775: Rebellion,7.67,2.24
Skull,7.21,1.14
Descent: Journeys in the Dark,7.30,3.34
Blood Bowl (Third Edition),7.54,2.98
Shadows of Brimstone: City of the Ancients,7.97,3.34
Forbidden Desert,7.14,2.05
Raptor,7.33,2.06
Point Salad,7.33,1.15
Mansions of Madness,7.29,3.24
Madeira,7.62,4.29
"Labyrinth: The War on Terror, 2001 - ?",7.59,3.63
Mystic Vale,7.30,2.25
PitchCar,7.25,1.13
Deus,7.32,2.85
Camel Up (Second Edition),7.67,1.51
London,7.36,2.88
Colt Express,7.12,1.82
Archipelago,7.34,3.73
Hanabi,7.08,1.70
Schotten Totten,7.31,1.74
Catan,7.15,2.32
Legends of Andor,7.21,2.77
First Class: All Aboard the Orient Express!,7.47,2.78
Dice Throne: Season Two - Battle Chest,8.19,2.13
Sentinels of the Multiverse,7.22,2.50
Freedom: The Underground Railroad,7.59,2.91
Roads & Boats,7.73,4.18
Small World Underground,7.27,2.59
Citadels,7.08,2.05
The Grizzled,7.20,1.94
Shadows over Camelot,7.12,2.57
Euphoria: Build a Better Dystopia,7.25,3.11
Egizia,7.42,2.83
Imhotep,7.20,2.01
Lords of Vegas,7.34,2.36
Ginkgopolis,7.43,2.91
Friday,7.14,2.14
One Night Ultimate Werewolf,7.14,1.39
Junk Art,7.43,1.22
Time's Up! Title Recall!,7.71,1.19
Fire in the Lake,8.07,4.06
Imperial Settlers: Empires of the North,7.61,2.77
The Fox in the Forest,7.25,1.59
Betrayal Legacy,7.83,2.83
Libertalia,7.16,2.24
Stuffed Fables,7.57,2.41
Airlines Europe,7.31,2.44
Aeon's End: The New Age,8.75,2.91
Vinhos,7.49,4.21
Elysium,7.23,2.76
Ingenious,7.12,1.92
Thurn and Taxis,7.10,2.26
KeyForge: Call of the Archons,7.28,2.46
TZAAR,7.66,2.54
The Colonists,7.65,4.09
Pipeline,7.75,3.85
Photosynthesis,7.13,2.28
Tales of the Arabian Nights,7.20,2.16
Vikings,7.25,2.54
Queendomino,7.26,2.09
Chess,7.13,3.70
Argent: The Consortium,7.68,3.80
Exit: The Game - Dead Man on the Orient Express,7.71,2.74
Potion Explosion,7.15,1.75
Pathfinder Adventure Card Game: Rise of the Runelords - Base Set,7.20,2.71
RoboRally,7.08,2.43
Taj Mahal,7.28,2.99
Last Will,7.19,2.71
Escape Plan,7.62,3.68
Sushi Go!,7.05,1.17
Runebound (Third Edition),7.51,2.66
Star Wars: X-Wing Miniatures Game - The Force Awakens Core Set,7.81,2.83
StarCraft: The Board Game,7.34,3.84
No Thanks!,7.05,1.14
Black Orchestra,7.52,2.41
Hammer of the Scots,7.55,2.98
Bohnanza,7.04,1.67
Tekhenu: Obelisk of the Sun,7.96,4.01
Citadels,7.31,2
Colosseum,7.22,2.75
Port Royal,7.14,1.63
Chicago Express,7.23,2.78
Nexus Ops,7.22,2.23
Paperback,7.18,1.99
Karuba,7.21,1.46
Baseball Highlights: 2045,7.55,2.22
Discworld: Ankh-Morpork,7.23,2.21
Evolution,7.13,2.43
Automobile,7.34,3.52
Conan,7.71,2.76
1846: The Race for the Midwest,7.94,4.01
A Game of Thrones,7.21,3.45
Fantasy Realms,7.45,1.73
Alhambra,7.03,2.10
Pax Porfiriana,7.68,3.57
Francis Drake,7.42,2.93
Blood Bowl (2016 Edition),8.07,3.53
AquaSphere,7.28,3.69
DVONN,7.44,2.67
Carson City,7.25,3.18
Star Wars: Destiny,7.53,2.28
Sprawlopolis,7.48,1.85
Camel Up,7.05,1.48
A Game of Thrones: The Card Game (Second Edition),7.56,3.53
Dwellings of Eldervale,8.52,3.21
Earth Reborn,7.66,3.89
Zombicide,7.16,2.54
Blackout: Hong Kong,7.51,3.46
Gears of War: The Board Game,7.46,2.89
Railroad Ink: Deep Blue Edition,7.28,1.52
Love Letter Premium,7.46,1.30
Broom Service,7.19,2.40
Struggle of Empires,7.51,3.60
Wavelength,7.52,1.10
Quantum,7.28,2.46
Tobago,7.11,2.12
Forgotten Waters,8.22,2.17
Snowdonia,7.37,3.00
Obsession,8.25,3.17
Space Empires: 4X,7.68,3.35
Carcassonne: Hunters and Gatherers,7.13,1.92
Jamaica,7.06,1.65
Hadara,7.48,2.20
Mare Nostrum: Empires,7.57,3.03
Magic Maze,7.05,1.75
The Republic of Rome,7.53,4.34
Through the Desert,7.07,2.21
Thebes,7.14,2.16
Triumph & Tragedy: European Balance of Power 1936-1945,8.18,3.32
Las Vegas,7.13,1.19
Coup,7.01,1.41
One Night Ultimate Werewolf Daybreak,7.38,1.43
Trains,7.17,2.39
Valeria: Card Kingdoms,7.45,2
Taluva,7.17,2.27
Thunderstone Advance: Towers of Ruin,7.37,2.74
Summoner Wars,7.26,2.31
Sidereal Confluence: Remastered Edition,7.81,3.61
Shadows of Brimstone: Swamps of Death,8.04,3.38
Shakespeare,7.44,3
Belfort,7.24,3.04
Dixit: Journey,7.42,1.26
The Battle of Five Armies,7.87,3.56
Formula D,7.02,1.97
Betrayal at House on the Hill,7.06,2.39
Pax Renaissance,8.04,4.38
Time's Up!,7.29,1.21
Dice Throne: Season One,7.65,2.05
"Unmatched: Battle of Legends, Volume One",8.03,1.85
Smash Up: Awesome Level 9000,7.25,2.13
Luna,7.33,3.33
Defenders of the Realm,7.30,2.71
Cuba Libre,7.70,3.54
Mr. Jack,7.01,2.18
Zombicide: Green Horde,7.82,2.52
ZhanGuo,7.59,3.83
Torres,7.12,2.87
Myrmes,7.28,3.45
Cuba,7.14,3.26
Lord of the Rings: The Confrontation,7.19,2.19
Oceans,7.70,2.82
Wallenstein,7.47,3.31
Warhammer Quest: The Adventure Card Game,7.37,2.71
Star Trek: Ascendancy,7.80,3.15
Fury of Dracula (Second Edition),7.12,2.95
Skull King,7.39,1.76
Medici,7.15,2.26
Exit: The Game - The Pharaoh's Tomb,7.22,2.81
Specter Ops,7.23,2.40
The Downfall of Pompeii,7.13,1.85
Coloretto,6.97,1.28
Leaving Earth,7.80,3.72
Escape: The Curse of the Temple,6.99,1.48
Kingdom Builder,6.96,2.07
Tokaido,6.99,1.75
Elder Sign,6.98,2.35
Steampunk Rally,7.22,2.58
Star Wars: X-Wing (Second Edition),8.29,3.03
Vegas Showdown,7.17,2.36
Cacao,7.10,1.82
Arkwright,7.86,4.57
Up Front,7.86,3.41
Yamataï,7.22,2.95
Eminent Domain,7.05,2.50
Advanced Squad Leader: Starter Kit #1,7.82,3.75
The Networks,7.22,2.58
High Society,7.05,1.50
The Duke,7.38,2.50
Tash-Kalar: Arena of Legends,7.18,2.85
The King's Dilemma,8.09,2.28
Praga Caput Regni,8.33,3.67
Arcadia Quest: Inferno,8.02,2.41
Love Letter: Batman,7.27,1.20
BANG! The Dice Game,6.95,1.27
Mandala,7.71,1.79
K2,7.06,2.26
Space Hulk,7.48,2.51
The Oracle of Delphi,7.30,3
Cry Havoc,7.21,3.28
HeroQuest,7.14,2.16
Dawn of the Zeds (Third Edition),8.22,3.75
Dragon Castle,7.21,1.97
Shipyard,7.36,3.50
Century: Eastern Wonders,7.22,2.09
Yspahan,7.08,2.37
Empires: Age of Discovery,7.89,3.35
Between Two Castles of Mad King Ludwig,7.33,2.17
Onirim (Second Edition),7.09,1.57
Middle-Earth Quest,7.38,3.55
Silver & Gold,7.36,1.16
Zombicide Season 2: Prison Outbreak,7.39,2.68
Mexica,7.24,2.70
Coal Baron,7.29,2.55
Crusaders: Thy Will Be Done,7.59,2.43
Ashes Reborn: Rise of the Phoenixborn,7.29,2.93
Between Two Cities,7.03,1.82
Wir sind das Volk!,7.84,3.68
Star Trek: Fleet Captains,7.51,3.05
World Without End,7.26,2.81
Carcassonne: The Castle,7.10,1.99
